,0
632,-28490.767427881554
633,-24697.153654456142
634,-23362.006186882663
635,-29599.770404140156
636,-24892.0552798907
637,-26349.33667031924
638,-28411.071116328247
639,-24204.494404355682
640,-30825.99593607584
641,-31591.95009471973
642,-25178.401324987426
643,-34951.54760555427
644,-32236.487732688594
645,-29934.663297096904
646,-24464.358253598224
647,-27449.366207202285
648,-26130.936868071552
649,-30100.5558183392
650,-34525.3623374502
651,-30297.39628251394
652,-32742.26085937023
653,-20197.662923773125
654,-27864.128888368614
655,-29828.01607946556
656,-21049.088935573895
657,-30483.286651492122
658,-33679.993944168105
659,-34760.54821660122
660,-27071.10259505114
661,-22601.167842149727
662,-34108.170465628325
663,-33706.21533616384
664,-34062.59371614456
665,-29444.71473821004
666,-25971.758195559185
667,-26576.95036931833
668,-26468.79214862984
669,-23034.87773275375
670,-26611.621804793675
671,-28160.058399359383
672,-28179.904847105347
673,-25182.242629170414
674,-29424.29255731901
675,-25287.956349293396
676,-30413.96324535212
677,-26736.47572418053
678,-28759.7288980484
679,-24955.178746938705
680,-28656.450404922176
681,-28942.83304258188
682,-26407.169571677852
683,-31806.804154237114
684,-27042.900758862503
685,-30578.78061564764
686,-26793.03897450368
687,-31313.199534773838
688,-31759.2563914458
689,-25665.063971916843
690,-30768.10310300193
691,-23181.210518320408
692,-24863.767468929294
693,-28170.16646154722
694,-27296.992681026466
695,-25188.64089469115
696,-33425.134263515465
697,-30745.18072605134
698,-24302.89012060563
699,-34523.45685905218
700,-33224.46743595601
701,-28413.12386139234
702,-19887.233791549996
703,-31405.118810812637
704,-30841.04463771979
705,-25732.93955866496
706,-36790.34793718657
707,-35102.095427711814
708,-28670.886919717
709,-21581.55974928538
710,-26460.208765784897
711,-29795.867820541072
712,-26674.860631545387
713,-27869.73575971524
714,-25808.699693242703
715,-23319.668356617287
716,-36443.15173727274
717,-30649.415791074436
718,-31742.37869135538
719,-26795.381639321648
720,-25252.14526299636
721,-22828.53114326796
722,-30553.366080582146
723,-32401.702349980686
724,-31813.18317000071
725,-23817.655133008964
726,-21573.365094304078
727,-28496.983799417812
728,-36339.74188564222
729,-28281.899832864605
730,-23913.85854719082
731,-30435.18120173613
732,-23276.72216705482
733,-20922.595004677776
734,-25807.679245670635
735,-21798.522098223366
736,-30334.346639712654
737,-30122.990391016006
738,-27664.285735368736
739,-17868.1586754322
740,-30221.470263799034
741,-32234.109075506534
742,-27433.58104638259
743,-24451.313055634502
744,-31218.597613652546
745,-26492.861705084644
